qdate,gross,fees,traded,sold,trades
7681,171.21,625.60,41775372.09,20887771.65,1223
7682,-7692.61,601.48,40174419.65,20083363.51,1239
7683,6369.90,598.46,40248058.15,20127214.03,1211
7684,-9635.75,628.69,42052013.40,21021188.83,1195
7685,-760.71,657.39,43977659.39,21988449.34,1212
7689,729.93,600.31,40231121.61,20115925.77,1253
7690,1633.34,671.21,45088355.36,22544994.35,1225
7691,4697.72,676.02,45344387.09,22674542.40,1265
7692,-3225.71,648.42,43555694.17,21776234.23,1201
7695,-8039.94,648.96,43331115.15,21661537.61,1262
7696,2378.52,657.81,43921446.11,21961912.31,1255
7697,19698.35,649.39,43425234.65,21722466.50,1293
7698,921.30,648.24,43452682.53,21726801.92,1256
7699,9368.92,632.27,42310669.25,21160019.08,1292
7702,2585.89,619.08,41423986.37,20713286.13,1245
7703,7319.41,628.23,42000112.29,21003715.85,1236
7704,6218.79,684.86,45764064.66,22885141.73,1246
7705,5339.96,654.65,43601472.05,21803406.01,1202
7706,7083.43,653.87,43776700.47,21891891.95,1239
7709,5518.37,607.13,40730102.45,20367810.41,1249
7710,1828.97,599.97,40274138.99,20137983.98,1193
7711,5855.03,648.30,43464222.92,21735038.98,1276
7712,781.24,628.43,42022039.44,21011410.34,1238
7713,-882.21,610.54,40985458.68,20492288.23,1204
7717,-2059.83,604.58,40594398.93,20296169.55,1191
7718,-624.46,670.74,45285986.66,22642681.10,1225
7719,396.49,589.55,39582570.87,19791483.68,1194
7720,-847.96,579.01,38780548.03,19389850.04,1221
7723,-9651.60,646.36,43326284.55,21658316.47,1227
7724,7463.25,655.39,43964845.67,21986154.46,1306
7725,-369.95,639.08,42849568.60,21424599.32,1249
7726,6211.47,678.32,45591452.67,22798832.07,1284
7727,8887.27,611.96,40905850.47,20457368.87,1297
7730,-1811.63,619.53,41555162.71,20776675.54,1227
7731,4117.18,684.26,45868958.52,22936537.85,1232
7732,-8579.54,683.08,45888827.86,22940124.17,1298
7733,-7008.75,660.82,44246447.03,22119719.14,1338
7734,8653.52,716.88,48055560.69,24032107.11,1310
7737,-9339.42,687.80,46220240.32,23105450.45,1294
7738,9071.16,619.49,41686626.75,20847848.95,1294
7739,6478.24,695.67,46883649.37,23445063.80,1282
7740,9203.23,645.43,43489208.17,21749205.70,1269
7741,891.03,624.32,41819854.90,20910372.96,1230
7744,9202.50,688.22,46146498.10,23077850.30,1248
7745,697.28,670.55,45130885.45,22565791.37,1226
7746,5671.62,651.17,43812631.15,21909151.38,1267
7747,-360.46,710.01,47754211.33,23876925.44,1295
7748,7277.45,663.08,44462324.16,22234800.81,1285
