qdate,gross,fees,traded,sold,trades
7681,2310.95,286.71,19218306.56,9610308.76,479
7682,2210.12,310.21,20563025.96,10282618.03,501
7683,-1462.09,317.86,21478013.59,10738275.75,477
7684,-8358.51,313.93,20917545.33,10454593.41,485
7685,3021.93,323.06,21474556.93,10738789.43,481
7689,-1723.79,305.47,20462461.83,10230369.03,489
7690,3715.85,342.64,23032966.66,11518341.25,490
7691,-645.22,323.20,21578321.30,10788838.04,490
7692,1794.94,329.57,22273150.04,11137472.49,463
7695,3357.74,336.03,22418541.83,11210949.78,489
7696,97.00,356.16,23705846.30,11852971.65,494
7697,11507.88,301.37,20215552.50,10113530.19,511
7698,-6041.41,314.16,21046779.09,10520368.84,514
7699,3053.66,309.37,20643515.98,10323284.82,501
7702,4348.45,310.55,20731011.54,10367680.00,503
7703,1944.90,323.58,21508517.09,10755231.00,477
7704,-344.12,314.83,20994537.10,10497096.49,490
7705,6019.53,321.62,21413569.08,10709794.31,457
7706,5209.33,313.69,21012299.51,10508754.43,470
7709,4086.99,288.85,19281328.92,9642707.96,479
7710,164.15,287.81,19425890.20,9713027.18,484
7711,4854.83,320.87,21358193.37,10681524.11,490
7712,-3023.37,310.48,20868515.34,10432745.99,491
7713,1771.38,303.93,20274350.65,10138061.02,481
7717,1082.98,299.13,20074413.59,10037748.29,481
7718,2848.25,335.86,22636487.53,11319667.89,477
7719,-868.58,286.87,19297545.33,9648338.38,486
7720,2735.88,277.94,18533136.66,9267936.27,475
7723,-9211.76,315.00,21100843.20,10545815.72,507
7724,4502.90,311.89,20860470.60,10432486.75,484
7725,3546.21,321.41,21720650.17,10862098.19,483
7726,4164.96,330.92,22214670.41,11109417.69,478
7727,2795.58,288.29,19301111.18,9651953.38,493
7730,239.99,300.19,20233995.13,10117117.56,469
7731,-2762.04,311.39,20822995.98,10410116.97,469
7732,6932.41,360.25,24185120.67,12096026.54,497
7733,7759.55,331.47,22073320.03,11040539.79,486
7734,1082.34,338.01,22691164.72,11346123.53,509
7737,-5879.16,327.10,21937479.25,10965800.04,506
7738,2970.74,303.29,20407557.04,10205263.89,490
7739,-4526.16,322.51,21699290.50,10847382.17,476
7740,7600.25,304.53,20394623.85,10201112.05,475
7741,4157.69,308.20,20584559.82,10316772.27,470
7744,5553.89,333.88,22422100.62,11213827.25,481
7745,-728.54,316.07,21319538.29,10659404.87,482
7746,-580.93,289.34,19397481.83,9698450.45,474
7747,1239.69,354.30,23943535.37,11972387.53,505
7748,2340.60,303.25,20296716.83,10149528.72,478
7751,-7625.77,355.36,23860551.53,11926462.88,504
7752,-148.20,338.52,22702334.38,11351093.09,497
7753,4243.05,358.26,24130367.93,12067305.49,485
7754,12662.08,351.50,23533166.84,11772914.46,475
7755,-2750.43,309.58,20893423.36,10445336.46,500
7758,4761.92,329.66,22186527.68,11095644.80,484
7759,4883.90,311.78,20867678.00,10436280.95,480
7760,7179.80,321.23,21554116.06,10780647.93,475
7761,881.47,305.04,20453997.12,10227439.29,471
7765,-888.91,310.39,20871702.10,10435406.59,493
7766,-2089.56,293.00,19580690.64,9789300.54,474
7767,1723.55,286.21,19059889.59,9530806.57,491
7768,419.92,294.82,19835290.29,9917855.10,461
