qdate,gross,fees,traded,sold,trades
7681,819.94,625.57,41772631.40,20886725.67,1223
7682,-6939.68,601.51,40175554.91,20084307.62,1239
7683,6673.44,598.45,40247689.06,20127181.25,1211
7684,-10220.17,628.69,42052833.08,21021306.46,1195
7685,764.29,657.43,43978882.44,21989823.36,1212
7689,2161.49,600.28,40227991.15,20115076.32,1253
7690,2363.77,671.23,45088690.41,22545527.09,1225
7691,4393.16,676.02,45344683.40,22674538.27,1265
7692,-1144.52,648.46,43556651.36,21777753.42,1201
7695,-7868.52,648.97,43331512.61,21661822.05,1262
7696,3274.15,657.83,43922289.75,21962781.95,1255
7697,20606.36,649.46,43429478.98,21725042.67,1293
7698,2674.08,648.23,43450326.42,21726500.25,1256
7699,11287.77,632.36,42314859.66,21163073.71,1292
7702,4722.94,619.08,41421628.60,20713175.76,1245
7703,7799.55,628.21,41997781.64,21002790.60,1236
7704,8467.96,684.88,45763051.26,22885759.61,1246
7705,5919.25,654.64,43600772.51,21803345.88,1202
7706,8062.84,653.87,43776270.22,21892166.53,1239
7709,6280.61,607.17,40732445.35,20369362.98,1249
7710,3635.10,599.96,40271527.48,20137581.29,1193
7711,8721.39,648.33,43463135.19,21735928.29,1276
7712,1739.34,628.44,42021498.43,21011618.89,1238
7713,-160.37,610.54,40984948.83,20492394.23,1204
7717,-601.19,604.61,40594568.93,20296983.87,1191
7718,118.21,670.76,45286186.88,22643152.54,1225
7719,271.69,589.55,39582855.74,19791563.72,1194
7720,-1195.06,579.00,38780104.72,19389454.83,1221
7723,-7214.87,646.36,43324092.02,21658438.57,1227
7724,7612.48,655.40,43965150.46,21986381.47,1306
7725,451.25,639.05,42846365.05,21423408.14,1249
7726,8595.40,678.44,45597396.87,22802996.13,1284
7727,9931.09,611.97,40905726.78,20457828.94,1297
7730,108.31,619.58,41556683.23,20778395.77,1227
7731,5160.38,684.23,45865397.24,22935278.80,1232
7732,-6476.65,683.15,45891733.47,22942628.41,1298
7733,-1914.63,660.91,44248395.84,22123240.60,1338
7734,8131.40,716.81,48050619.52,24029375.46,1310
7737,-6550.86,687.80,46217642.87,23105546.01,1294
7738,7845.86,619.45,41685102.43,20846474.15,1294
7739,10212.08,695.68,46880591.44,23445401.76,1282
7740,9144.77,645.43,43489016.73,21749080.75,1269
7741,3185.52,624.35,41820028.65,20911607.08,1230
7744,9710.34,688.22,46146614.75,23078162.55,1248
7745,-33.63,670.52,45129837.51,22564901.93,1226
7746,6860.39,651.15,43810651.41,21908755.90,1267
7747,755.66,710.06,47756537.92,23878646.79,1295
7748,10131.92,663.12,44462024.48,22236078.20,1285
7751,-12178.64,655.78,44168267.24,22078044.31,1203
7752,-1395.77,691.88,46596541.51,23297572.87,1286
7753,1927.41,717.91,48299809.72,24150868.56,1269
7754,1814.83,672.67,45159700.76,22580757.79,1270
7755,4763.81,703.71,47397944.35,23701354.08,1309
7758,3602.69,676.92,45260328.49,22631965.59,1216
7759,6330.31,644.21,43080958.15,21543644.23,1237
7760,12606.37,692.10,46629845.59,23321225.98,1255
7761,5968.01,681.02,45763489.34,22884728.68,1242
7765,5841.27,657.77,44191479.55,22098660.41,1223
7766,2440.77,666.13,44711752.86,22357096.82,1230
7767,-569.91,606.86,40674935.13,20337182.61,1204
7768,5514.55,630.47,42319655.10,21162584.83,1258
7769,2072.44,669.81,44833283.49,22417677.96,1243
7772,2572.79,661.52,44591371.07,22296971.93,1223
