month,daysWritten,msElapsed,raw,droppedOutsideRTH,droppedDupes,badHighLow
.......,0,0,0,0,0,0
///////,0,0,0,0,0,0
2020-08,21,1163,559907,399,0,0
2020-09,21,1200,602698,735,0,0
2020-10,22,1354,731435,1005,0,0
2020-11,20,1262,657269,2500,0,0
2020-12,22,1398,668591,2666,0,0
2021-01,19,1329,639485,2467,0,0
2021-02,19,1527,629778,2181,0,0
2021-03,23,1440,783714,2436,0,0
2021-04,21,1269,623696,1655,0,0
2021-05,20,1238,632166,1057,0,0
2021-06,22,1306,664951,695,0,0
2021-07,21,1226,610711,1061,0,0
2021-08,22,1219,594402,783,0,0
2021-09,21,1227,599011,829,0,0
2021-10,21,1204,579616,1368,0,0
2021-11,21,1215,595343,1390,0,0
2021-12,22,1236,622700,790,0,0
2022-01,20,1246,618017,1196,0,0
2022-02,19,1271,612988,1206,0,0
2022-03,23,1374,713312,751,0,0
2022-04,20,1497,629790,1010,0,0
2022-05,21,1589,695287,1295,0,0
2022-06,21,1302,673062,974,0,0
2022-07,20,2012,624307,1249,0,0
2022-08,23,1353,682499,802,0,0
2022-09,21,1325,661976,561,0,0
2022-10,21,1538,677216,1079,0,0
2022-11,21,1293,650023,727,0,0
2022-12,21,1295,636980,541,0,0
2023-01,20,1288,638977,714,0,0
2023-02,19,1243,586888,686,0,0
2023-03,23,1377,717279,518,0,0
2023-04,19,1197,554002,744,0,0
2023-05,22,1272,632207,1088,0,0
2023-06,21,1745,600037,611,0,0
2023-07,20,1326,570820,847,0,0
2023-08,23,1231,592905,548,0,0
2023-09,20,1171,536196,331,0,0
2023-10,22,1290,637292,503,0,0
2023-11,21,1232,579758,560,0,0
2023-12,20,1634,551180,279,0,0
2024-01,21,1243,603401,373,0,0
2024-02,20,1214,569211,604,0,0
2024-03,20,1208,560878,234,0,0
2024-04,22,1257,619476,522,0,0
2024-05,22,1227,581193,390,0,0
2024-06,19,1139,496312,414,0,0
2024-07,22,1245,589001,695,0,0
2024-08,22,1256,608829,699,0,0
2024-09,20,1230,579243,271,0,0
2024-10,23,1335,670801,639,0,0
2024-11,20,1731,595801,353,0,0
2024-12,21,1211,567129,666,0,0
2025-01,20,1324,610983,942,0,0
2025-02,19,1305,592590,1496,0,0
2025-03,20,1748,635429,1353,0,0
2025-04,21,1362,674452,2821,0,0
2025-05,21,1305,619825,2596,0,0
2025-06,20,1235,569149,2170,0,0
2025-07,22,1282,630896,2722,0,0
2025-08,21,1268,599379,2240,0,0
2025-09,21,1281,626766,2177,0,0
2025-10,23,1421,703711,2620,0,0
2025-11,19,1505,634342,2253,0,0
2025-12,22,1438,691373,2265,0,0
2026-01,20,1454,691095,2315,0,0
2026-02,19,1424,672660,1993,0,0
2026-03,22,1527,758162,2229,0,0
2026-04,21,2007,712680,2227,0,0
2026-05,20,1431,691385,2569,0,0
2026-06,21,1475,735256,2461,0,0
2026-07,22,1501,761521,2308,0,0
2026-08,5,772,138600,489,0,0
:::::::,0,0,0,0,0,0
DDDDDDD,0,1,0,0,0,0
SSSSSSS,0,0,0,0,0,0
UUUUUUU,0,0,0,0,0,0
_______,0,0,0,0,0,0
aaaaaaa,0,0,0,0,0,0
bbbbbbb,0,0,0,0,0,0
ddddddd,0,0,0,0,0,0
eeeeeee,0,0,0,0,0,0
hhhhhhh,0,0,0,0,0,0
iiiiiii,0,0,0,0,0,0
kkkkkkk,0,0,0,0,0,0
nnnnnnn,0,0,0,0,0,0
ooooooo,0,0,0,0,0,0
ppppppp,0,0,0,0,0,0
rrrrrrr,0,0,0,0,0,0
sssssss,0,0,0,0,0,0
ttttttt,0,0,0,0,0,0
uuuuuuu,0,0,0,0,0,0
wwwwwww,0,0,0,0,0,0
